#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1392245,54402276,P153DRAFT_100011,P153DRAFT_100011,-,-,Unknown,-,D-tyrosyl-tRNA deacylase-like protein,protein-coding,-,-,-,D-tyrosyl-tRNA deacylase-like protein,20210320,-
1392245,54404413,P153DRAFT_294855,P153DRAFT_294855,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20210320,-
1392245,54404414,P153DRAFT_294859,P153DRAFT_294859,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404415,P153DRAFT_294862,P153DRAFT_294862,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404416,P153DRAFT_294867,P153DRAFT_294867,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404417,P153DRAFT_294879,P153DRAFT_294879,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404418,P153DRAFT_294890,P153DRAFT_294890,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404419,P153DRAFT_294895,P153DRAFT_294895,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404420,P153DRAFT_294898,P153DRAFT_294898,-,-,Unknown,-,SWIRM-domain-containing protein,protein-coding,-,-,-,SWIRM-domain-containing protein,20210320,-
1392245,54404421,P153DRAFT_294906,P153DRAFT_294906,-,-,Unknown,-,alpha-L RNA-binding motif-containing protein,protein-coding,-,-,-,alpha-L RNA-binding motif-containing protein,20210320,-
1392245,54404422,P153DRAFT_294915,P153DRAFT_294915,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404423,P153DRAFT_294917,P153DRAFT_294917,-,-,Unknown,-,cytochrome P450 family protein,protein-coding,-,-,-,cytochrome P450 family protein,20210320,-
1392245,54404424,P153DRAFT_294921,P153DRAFT_294921,-,-,Unknown,-,cysteine proteinase,protein-coding,-,-,-,cysteine proteinase,20210320,-
1392245,54404425,P153DRAFT_294942,P153DRAFT_294942,-,-,Unknown,-,carbohydrate esterase family 12 protein,protein-coding,-,-,-,carbohydrate esterase family 12 protein,20210320,-
1392245,54404426,P153DRAFT_294965,P153DRAFT_294965,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404427,P153DRAFT_294995,P153DRAFT_294995,-,-,Unknown,-,HlyIII-domain-containing protein,protein-coding,-,-,-,HlyIII-domain-containing protein,20210320,-
1392245,54404428,P153DRAFT_295019,P153DRAFT_295019,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404429,P153DRAFT_295027,P153DRAFT_295027,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404430,P153DRAFT_295050,P153DRAFT_295050,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404431,P153DRAFT_295051,P153DRAFT_295051,-,-,Unknown,-,2-dehydropantoate 2-reductase,protein-coding,-,-,-,2-dehydropantoate 2-reductase,20210320,-
1392245,54404432,P153DRAFT_295060,P153DRAFT_295060,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404433,P153DRAFT_295063,P153DRAFT_295063,-,-,Unknown,-,NAD-dependent epimerase/dehydratase,protein-coding,-,-,-,NAD-dependent epimerase/dehydratase,20210320,-
1392245,54404434,P153DRAFT_295066,P153DRAFT_295066,-,-,Unknown,-,Thi4-domain-containing protein,protein-coding,-,-,-,Thi4-domain-containing protein,20210320,-
1392245,54404435,P153DRAFT_295088,P153DRAFT_295088,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404436,P153DRAFT_295090,P153DRAFT_295090,-,-,Unknown,-,vacuolar segregation protein-like protein pep7,protein-coding,-,-,-,vacuolar segregation protein-like protein pep7,20210320,-
1392245,54404437,P153DRAFT_295109,P153DRAFT_295109,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404438,P153DRAFT_295134,P153DRAFT_295134,-,-,Unknown,-,HET-domain-containing protein,protein-coding,-,-,-,HET-domain-containing protein,20210320,-
1392245,54404439,P153DRAFT_295146,P153DRAFT_295146,-,-,Unknown,-,kinase-like protein,protein-coding,-,-,-,kinase-like protein,20210320,-
1392245,54404440,P153DRAFT_295156,P153DRAFT_295156,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404441,P153DRAFT_295169,P153DRAFT_295169,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20210320,-
1392245,54404442,P153DRAFT_295171,P153DRAFT_295171,-,-,Unknown,-,Metallo-dependent hydrolase,protein-coding,-,-,-,Metallo-dependent hydrolase,20210320,-
1392245,54404443,P153DRAFT_295195,P153DRAFT_295195,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20210320,-
1392245,54404444,P153DRAFT_295218,P153DRAFT_295218,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404445,P153DRAFT_295230,P153DRAFT_295230,-,-,Unknown,-,serum paraoxonase/arylesteras-like protein,protein-coding,-,-,-,serum paraoxonase/arylesteras-like protein,20210320,-
1392245,54404446,P153DRAFT_295236,P153DRAFT_295236,-,-,Unknown,-,dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase,protein-coding,-,-,-,dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase,20210320,-
1392245,54404447,P153DRAFT_295249,P153DRAFT_295249,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404448,P153DRAFT_295253,P153DRAFT_295253,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404449,P153DRAFT_295262,P153DRAFT_295262,-,-,Unknown,-,acyltransferase ChoActase/COT/CPT,protein-coding,-,-,-,acyltransferase ChoActase/COT/CPT,20210320,-
1392245,54404450,P153DRAFT_295266,P153DRAFT_295266,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404451,P153DRAFT_295281,P153DRAFT_295281,-,-,Unknown,-,glycoside hydrolase family 43 protein,protein-coding,-,-,-,glycoside hydrolase family 43 protein,20210320,-
1392245,54404452,P153DRAFT_295297,P153DRAFT_295297,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404453,P153DRAFT_295321,P153DRAFT_295321,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404454,P153DRAFT_295355,P153DRAFT_295355,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404455,P153DRAFT_295362,P153DRAFT_295362,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404456,P153DRAFT_295383,P153DRAFT_295383,-,-,Unknown,-,ICE2-domain-containing protein,protein-coding,-,-,-,ICE2-domain-containing protein,20210320,-
1392245,54404457,P153DRAFT_295386,P153DRAFT_295386,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404458,P153DRAFT_295390,P153DRAFT_295390,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404459,P153DRAFT_295414,P153DRAFT_295414,-,-,Unknown,-,tyrosine-protein phosphatase-like protein SIW14,protein-coding,-,-,-,tyrosine-protein phosphatase-like protein SIW14,20210320,-
1392245,54404460,P153DRAFT_295426,P153DRAFT_295426,-,-,Unknown,-,phosphopantothenoylcysteine decarboxylase,protein-coding,-,-,-,phosphopantothenoylcysteine decarboxylase,20210320,-
1392245,54404461,P153DRAFT_295446,P153DRAFT_295446,-,-,Unknown,-,alpha/beta-hydrolase,protein-coding,-,-,-,alpha/beta-hydrolase,20210320,-
1392245,54404462,P153DRAFT_295448,P153DRAFT_295448,-,-,Unknown,-,cholinephosphate cytidylyltransferas-like protein,protein-coding,-,-,-,cholinephosphate cytidylyltransferas-like protein,20210320,-
1392245,54404463,P153DRAFT_295453,P153DRAFT_295453,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404464,P153DRAFT_295461,P153DRAFT_295461,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404465,P153DRAFT_295470,P153DRAFT_295470,-,-,Unknown,-,Mur ligase,protein-coding,-,-,-,Mur ligase,20210320,-
1392245,54404466,P153DRAFT_295493,P153DRAFT_295493,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20210320,-
1392245,54404467,P153DRAFT_295517,P153DRAFT_295517,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404468,P153DRAFT_295529,P153DRAFT_295529,-,-,Unknown,-,guanylate kinase-like protein,protein-coding,-,-,-,guanylate kinase-like protein,20210320,-
1392245,54404469,P153DRAFT_295534,P153DRAFT_295534,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404470,P153DRAFT_295586,P153DRAFT_295586,-,-,Unknown,-,DUF1857-domain-containing protein,protein-coding,-,-,-,DUF1857-domain-containing protein,20210320,-
1392245,54404471,P153DRAFT_29559,P153DRAFT_29559,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404472,P153DRAFT_295593,P153DRAFT_295593,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404473,P153DRAFT_295598,P153DRAFT_295598,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404474,P153DRAFT_295630,P153DRAFT_295630,-,-,Unknown,-,PLP-dependent transferase,protein-coding,-,-,-,PLP-dependent transferase,20210320,-
1392245,54404475,P153DRAFT_295683,P153DRAFT_295683,-,-,Unknown,-,alpha/beta-hydrolase,protein-coding,-,-,-,alpha/beta-hydrolase,20210320,-
1392245,54404476,P153DRAFT_295688,P153DRAFT_295688,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404477,P153DRAFT_295707,P153DRAFT_295707,-,-,Unknown,-,VAMP-associated protein,protein-coding,-,-,-,VAMP-associated protein,20210320,-
1392245,54404478,P153DRAFT_295725,P153DRAFT_295725,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404479,P153DRAFT_295764,P153DRAFT_295764,-,-,Unknown,-,protein serine/threonine phosphatase 2C,protein-coding,-,-,-,protein serine/threonine phosphatase 2C,20210320,-
1392245,54404480,P153DRAFT_295766,P153DRAFT_295766,-,-,Unknown,-,regulator of G protein signaling superfamily,protein-coding,-,-,-,regulator of G protein signaling superfamily,20210320,-
1392245,54404481,P153DRAFT_295776,P153DRAFT_295776,-,-,Unknown,-,general substrate transporter,protein-coding,-,-,-,general substrate transporter,20210320,-
1392245,54404482,P153DRAFT_295791,P153DRAFT_295791,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404483,P153DRAFT_295815,P153DRAFT_295815,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404484,P153DRAFT_295832,P153DRAFT_295832,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404485,P153DRAFT_295852,P153DRAFT_295852,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404486,P153DRAFT_295861,P153DRAFT_295861,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404487,P153DRAFT_295869,P153DRAFT_295869,-,-,Unknown,-,FabD/lysophospholipase-like protein,protein-coding,-,-,-,FabD/lysophospholipase-like protein,20210320,-
1392245,54404488,P153DRAFT_295873,P153DRAFT_295873,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404489,P153DRAFT_295874,P153DRAFT_295874,-,-,Unknown,-,NAD(P)-binding protein,protein-coding,-,-,-,NAD(P)-binding protein,20210320,-
1392245,54404490,P153DRAFT_295888,P153DRAFT_295888,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404491,P153DRAFT_295911,P153DRAFT_295911,-,-,Unknown,-,kinase-like protein,protein-coding,-,-,-,kinase-like protein,20210320,-
1392245,54404492,P153DRAFT_295919,P153DRAFT_295919,-,-,Unknown,-,aquaporin-like protein,protein-coding,-,-,-,aquaporin-like protein,20210320,-
1392245,54404493,P153DRAFT_295990,P153DRAFT_295990,-,-,Unknown,-,AIP3-domain-containing protein,protein-coding,-,-,-,AIP3-domain-containing protein,20210320,-
1392245,54404494,P153DRAFT_296014,P153DRAFT_296014,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404495,P153DRAFT_296025,P153DRAFT_296025,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404496,P153DRAFT_296045,P153DRAFT_296045,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404497,P153DRAFT_296050,P153DRAFT_296050,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404498,P153DRAFT_296059,P153DRAFT_296059,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404499,P153DRAFT_296072,P153DRAFT_296072,-,-,Unknown,-,Pkinase-domain-containing protein,protein-coding,-,-,-,Pkinase-domain-containing protein,20210320,-
1392245,54404500,P153DRAFT_296099,P153DRAFT_296099,-,-,Unknown,-,t-SNARE,protein-coding,-,-,-,t-SNARE,20210320,-
1392245,54404501,P153DRAFT_296100,P153DRAFT_296100,-,-,Unknown,-,Asparaginase/glutaminase,protein-coding,-,-,-,Asparaginase/glutaminase,20210320,-
1392245,54404502,P153DRAFT_296118,P153DRAFT_296118,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404503,P153DRAFT_296119,P153DRAFT_296119,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404504,P153DRAFT_296149,P153DRAFT_296149,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404505,P153DRAFT_296181,P153DRAFT_296181,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404506,P153DRAFT_296230,P153DRAFT_296230,-,-,Unknown,-,glycoside hydrolase family 6 protein,protein-coding,-,-,-,glycoside hydrolase family 6 protein,20210320,-
1392245,54404507,P153DRAFT_296235,P153DRAFT_296235,-,-,Unknown,-,AhpC-TSA-domain-containing protein,protein-coding,-,-,-,AhpC-TSA-domain-containing protein,20210320,-
1392245,54404508,P153DRAFT_296244,P153DRAFT_296244,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20210320,-
1392245,54404509,P153DRAFT_296249,P153DRAFT_296249,-,-,Unknown,-,NAD(P)-binding protein,protein-coding,-,-,-,NAD(P)-binding protein,20210320,-
1392245,54404510,P153DRAFT_296271,P153DRAFT_296271,-,-,Unknown,-,class II peroxidase,protein-coding,-,-,-,class II peroxidase,20210320,-
1392245,54404511,P153DRAFT_296273,P153DRAFT_296273,-,-,Unknown,-,HECT-domain-containing protein,protein-coding,-,-,-,HECT-domain-containing protein,20210320,-
1392245,54404512,P153DRAFT_296274,P153DRAFT_296274,-,-,Unknown,-,mitochondrial 54S ribosomal protein YmL9,protein-coding,-,-,-,mitochondrial 54S ribosomal protein YmL9,20210320,-
1392245,54404513,P153DRAFT_296360,P153DRAFT_296360,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404514,P153DRAFT_296362,P153DRAFT_296362,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404515,P153DRAFT_296382,P153DRAFT_296382,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404516,P153DRAFT_296387,P153DRAFT_296387,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404517,P153DRAFT_296388,P153DRAFT_296388,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404518,P153DRAFT_296392,P153DRAFT_296392,-,-,Unknown,-,mitochondrial carnitine/acylcarnitine carrier protein,protein-coding,-,-,-,mitochondrial carnitine/acylcarnitine carrier protein,20210320,-
1392245,54404519,P153DRAFT_296411,P153DRAFT_296411,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404520,P153DRAFT_296438,P153DRAFT_296438,-,-,Unknown,-,FAD-binding domain-containing protein,protein-coding,-,-,-,FAD-binding domain-containing protein,20210320,-
1392245,54404521,P153DRAFT_296479,P153DRAFT_296479,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404522,P153DRAFT_296523,P153DRAFT_296523,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404523,P153DRAFT_296544,P153DRAFT_296544,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404524,P153DRAFT_296565,P153DRAFT_296565,-,-,Unknown,-,Pex24p-domain-containing protein,protein-coding,-,-,-,Pex24p-domain-containing protein,20210320,-
1392245,54404525,P153DRAFT_296567,P153DRAFT_296567,-,-,Unknown,-,glycosyltransferase family 15 protein,protein-coding,-,-,-,glycosyltransferase family 15 protein,20210320,-
1392245,54404526,P153DRAFT_296579,P153DRAFT_296579,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404527,P153DRAFT_296581,P153DRAFT_296581,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404528,P153DRAFT_296586,P153DRAFT_296586,-,-,Unknown,-,coatomer subunit epsilon,protein-coding,-,-,-,coatomer subunit epsilon,20210320,-
1392245,54404529,P153DRAFT_296617,P153DRAFT_296617,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404530,P153DRAFT_296627,P153DRAFT_296627,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404531,P153DRAFT_296649,P153DRAFT_296649,-,-,Unknown,-,protein phosphatase-like protein 2C,protein-coding,-,-,-,protein phosphatase-like protein 2C,20210320,-
1392245,54404532,P153DRAFT_296666,P153DRAFT_296666,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54404533,P153DRAFT_296687,P153DRAFT_296687,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404534,P153DRAFT_296691,P153DRAFT_296691,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404535,P153DRAFT_296694,P153DRAFT_296694,-,-,Unknown,-,glutathione peroxidase 1,protein-coding,-,-,-,glutathione peroxidase 1,20210320,-
1392245,54404536,P153DRAFT_296696,P153DRAFT_296696,-,-,Unknown,-,DUF1771-domain-containing protein,protein-coding,-,-,-,DUF1771-domain-containing protein,20210320,-
1392245,54404537,P153DRAFT_296700,P153DRAFT_296700,-,-,Unknown,-,"mitochondrial import translocase, subunit Tom22",protein-coding,-,-,-,"mitochondrial import translocase, subunit Tom22",20210320,-
1392245,54404538,P153DRAFT_296707,P153DRAFT_296707,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404539,P153DRAFT_296734,P153DRAFT_296734,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54404540,P153DRAFT_296747,P153DRAFT_296747,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20210320,-
1392245,54404541,P153DRAFT_296758,P153DRAFT_296758,-,-,Unknown,-,Ash2-trithorax family protein,protein-coding,-,-,-,Ash2-trithorax family protein,20210320,-
1392245,54404542,P153DRAFT_296774,P153DRAFT_296774,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
