#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1033806,16545868,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Halorhabdus tiamatea JCM 14471; Halorhabdus tiamatea str. SARL4B; Halorhabdus tiamatea strain SARL4B).,other,-,-,-,-,20180801,-
1033806,23798021,HTIA_RS03205,HTIA_RS03205,HTIA_0647,-,I,-,50S ribosomal protein L7ae,protein-coding,-,-,-,50S ribosomal protein L7ae,20210312,-
1033806,23798022,HTIA_RS03200,HTIA_RS03200,HTIA_0646,-,I,-,tRNA(Met) cytidine acetyltransferase,protein-coding,-,-,-,tRNA(Met) cytidine acetyltransferase,20210312,-
1033806,23798023,ilvD,HTIA_RS03195,HTIA_0645,-,I,-,dihydroxy-acid dehydratase,protein-coding,-,-,-,dihydroxy-acid dehydratase,20210312,-
1033806,23798024,HTIA_RS03190,HTIA_RS03190,-,-,I,-,CopG family transcriptional regulator,protein-coding,-,-,-,CopG family transcriptional regulator,20210312,-
1033806,23798025,HTIA_RS03185,HTIA_RS03185,HTIA_0644,-,I,-,toxin,protein-coding,-,-,-,toxin,20210312,-
1033806,23798026,HTIA_RS03180,HTIA_RS03180,HTIA_0643,-,I,-,aminopeptidase,protein-coding,-,-,-,aminopeptidase,20210312,-
1033806,23798027,HTIA_RS03175,HTIA_RS03175,HTIA_0642,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798028,HTIA_RS03170,HTIA_RS03170,HTIA_0641,-,I,-,halocyanin domain-containing protein,protein-coding,-,-,-,halocyanin domain-containing protein,20210312,-
1033806,23798029,HTIA_RS03165,HTIA_RS03165,HTIA_0640,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798030,HTIA_RS03160,HTIA_RS03160,HTIA_0639,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798031,HTIA_RS03155,HTIA_RS03155,HTIA_0638,-,I,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20210312,-
1033806,23798032,HTIA_RS03150,HTIA_RS03150,HTIA_0637,-,I,-,Htur_1727 family rSAM-partnered candidate RiPP,protein-coding,-,-,-,Htur_1727 family rSAM-partnered candidate RiPP,20210312,-
1033806,23798033,HTIA_RS03145,HTIA_RS03145,HTIA_0636,-,I,-,TIGR04347 family pseudo-SAM/SPASM protein,protein-coding,-,-,-,TIGR04347 family pseudo-SAM/SPASM protein,20210312,-
1033806,23798034,HTIA_RS03140,HTIA_RS03140,HTIA_0635,-,I,-,PHP domain-containing protein,protein-coding,-,-,-,PHP domain-containing protein,20210312,-
1033806,23798035,HTIA_RS03135,HTIA_RS03135,HTIA_0634,-,I,-,asparagine synthetase B,protein-coding,-,-,-,asparagine synthetase B,20210312,-
1033806,23798036,HTIA_RS03130,HTIA_RS03130,HTIA_0633,-,I,-,tRNA,tRNA,-,-,-,-,20210312,-
1033806,23798037,HTIA_RS03125,HTIA_RS03125,HTIA_0632,-,I,-,30S ribosomal protein S15,protein-coding,-,-,-,30S ribosomal protein S15,20210312,-
1033806,23798038,HTIA_RS03120,HTIA_RS03120,HTIA_0631,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798039,HTIA_RS03115,HTIA_RS03115,HTIA_0630,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798040,HTIA_RS03110,HTIA_RS03110,HTIA_0629,-,I,-,30S ribosomal protein S3ae,protein-coding,-,-,-,30S ribosomal protein S3ae,20210312,-
1033806,23798041,HTIA_RS03105,HTIA_RS03105,HTIA_0628,-,I,-,halocyanin,protein-coding,-,-,-,halocyanin,20210312,-
1033806,23798042,HTIA_RS03100,HTIA_RS03100,HTIA_0627,-,I,-,protein sorting system archaetidylserine synthase,protein-coding,-,-,-,protein sorting system archaetidylserine synthase,20210312,-
1033806,23798043,HTIA_RS03095,HTIA_RS03095,HTIA_0626,-,I,-,HEAT repeat domain-containing protein,protein-coding,-,-,-,HEAT repeat domain-containing protein,20210312,-
1033806,23798044,HTIA_RS03090,HTIA_RS03090,HTIA_0625,-,I,-,phospholipase,protein-coding,-,-,-,phospholipase,20210312,-
1033806,23798045,HTIA_RS03085,HTIA_RS03085,HTIA_0624,-,I,-,S1 RNA-binding domain-containing protein,protein-coding,-,-,-,S1 RNA-binding domain-containing protein,20210605,-
1033806,23798046,HTIA_RS03080,HTIA_RS03080,HTIA_0623,-,I,-,Mov34/MPN/PAD-1 family protein,protein-coding,-,-,-,Mov34/MPN/PAD-1 family protein,20210312,-
1033806,23798047,HTIA_RS03075,HTIA_RS03075,HTIA_0622,-,I,-,adenylyltransferase/cytidyltransferase family protein,protein-coding,-,-,-,adenylyltransferase/cytidyltransferase family protein,20210312,-
1033806,23798048,HTIA_RS03070,HTIA_RS03070,HTIA_0621,-,I,-,pyridoxal phosphate-dependent aminotransferase,protein-coding,-,-,-,pyridoxal phosphate-dependent aminotransferase,20210312,-
1033806,23798049,HTIA_RS03065,HTIA_RS03065,HTIA_0620,-,I,-,TIGR03663 family protein,protein-coding,-,-,-,TIGR03663 family protein,20210312,-
1033806,23798050,HTIA_RS03060,HTIA_RS03060,HTIA_0619,-,I,-,5-(carboxyamino)imidazole ribonucleotide synthase,protein-coding,-,-,-,5-(carboxyamino)imidazole ribonucleotide synthase,20210312,-
1033806,23798051,purE,HTIA_RS03055,HTIA_0618,-,I,-,5-(carboxyamino)imidazole ribonucleotide mutase,protein-coding,-,-,-,5-(carboxyamino)imidazole ribonucleotide mutase,20210312,-
1033806,23798052,HTIA_RS03050,HTIA_RS03050,HTIA_0617,-,I,-,NADH-quinone oxidoreductase subunit A,protein-coding,-,-,-,NADH-quinone oxidoreductase subunit A,20210312,-
1033806,23798053,HTIA_RS03045,HTIA_RS03045,HTIA_0616,-,I,-,NADH-quinone oxidoreductase subunit B,protein-coding,-,-,-,NADH-quinone oxidoreductase subunit B,20210312,-
1033806,23798054,HTIA_RS03040,HTIA_RS03040,HTIA_0615,-,I,-,NADH-quinone oxidoreductase subunit D,protein-coding,-,-,-,NADH-quinone oxidoreductase subunit D,20210312,-
1033806,23798055,HTIA_RS03035,HTIA_RS03035,HTIA_0614,-,I,-,NADH-quinone oxidoreductase subunit H,protein-coding,-,-,-,NADH-quinone oxidoreductase subunit H,20210312,-
1033806,23798056,HTIA_RS03030,HTIA_RS03030,HTIA_0613,-,I,-,NADH-quinone oxidoreductase subunit I,protein-coding,-,-,-,NADH-quinone oxidoreductase subunit I,20210312,-
1033806,23798057,HTIA_RS03025,HTIA_RS03025,-,-,I,-,PIN domain-containing protein,protein-coding,-,-,-,PIN domain-containing protein,20210312,-
1033806,23798058,HTIA_RS03020,HTIA_RS03020,HTIA_0610,-,I,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,protein-coding,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,20210312,-
1033806,23798059,HTIA_RS03015,HTIA_RS03015,HTIA_0609,-,I,-,DUF456 domain-containing protein,protein-coding,-,-,-,DUF456 domain-containing protein,20210312,-
1033806,23798060,HTIA_RS03010,HTIA_RS03010,HTIA_0608,-,I,-,NADH-quinone oxidoreductase subunit J,protein-coding,-,-,-,NADH-quinone oxidoreductase subunit J,20210312,-
1033806,23798061,HTIA_RS03005,HTIA_RS03005,HTIA_0607,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798062,nuoK,HTIA_RS03000,HTIA_0606,-,I,-,NADH-quinone oxidoreductase subunit NuoK,protein-coding,-,-,-,NADH-quinone oxidoreductase subunit NuoK,20210312,-
1033806,23798063,nuoL,HTIA_RS02995,HTIA_0605,-,I,-,NADH-quinone oxidoreductase subunit L,protein-coding,-,-,-,NADH-quinone oxidoreductase subunit L,20210312,-
1033806,23798064,HTIA_RS02990,HTIA_RS02990,HTIA_0604,-,I,-,NuoM family protein,protein-coding,-,-,-,NuoM family protein,20210312,-
1033806,23798065,HTIA_RS02985,HTIA_RS02985,HTIA_0603,-,I,-,NADH-quinone oxidoreductase subunit N,protein-coding,-,-,-,NADH-quinone oxidoreductase subunit N,20210312,-
1033806,23798066,HTIA_RS02980,HTIA_RS02980,HTIA_0602,-,I,-,UPF0175 family protein,protein-coding,-,-,-,UPF0175 family protein,20210312,-
1033806,23798067,HTIA_RS02975,HTIA_RS02975,HTIA_0601,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798068,mvaD,HTIA_RS02970,HTIA_0600,-,I,-,diphosphomevalonate decarboxylase,protein-coding,-,-,-,diphosphomevalonate decarboxylase,20210312,-
1033806,23798069,HTIA_RS02965,HTIA_RS02965,HTIA_0599,-,I,-,FAD-dependent oxidoreductase,protein-coding,-,-,-,FAD-dependent oxidoreductase,20210312,-
1033806,23798070,HTIA_RS02960,HTIA_RS02960,HTIA_0598,-,I,-,chemotaxis protein CheW,protein-coding,-,-,-,chemotaxis protein CheW,20210312,-
1033806,23798071,HTIA_RS02955,HTIA_RS02955,HTIA_0597,-,I,-,ParA family protein,protein-coding,-,-,-,ParA family protein,20210312,-
1033806,23798072,HTIA_RS02950,HTIA_RS02950,HTIA_0596,-,I,-,flagella E,protein-coding,-,-,-,flagella E,20210312,-
1033806,23798073,HTIA_RS02945,HTIA_RS02945,HTIA_0595,-,I,-,DUF59 domain-containing protein,protein-coding,-,-,-,DUF59 domain-containing protein,20210312,-
1033806,23798074,HTIA_RS02940,HTIA_RS02940,HTIA_0593,-,I,-,zinc-dependent metalloprotease,protein-coding,-,-,-,zinc-dependent metalloprotease,20210312,-
1033806,23798075,HTIA_RS02935,HTIA_RS02935,HTIA_0592,-,I,-,cupredoxin domain-containing protein,protein-coding,-,-,-,cupredoxin domain-containing protein,20210312,-
1033806,23798076,HTIA_RS02930,HTIA_RS02930,HTIA_0591,-,I,-,YeeE/YedE family protein,protein-coding,-,-,-,YeeE/YedE family protein,20210312,-
1033806,23798077,HTIA_RS02925,HTIA_RS02925,HTIA_0590,-,I,-,M42 family peptidase,protein-coding,-,-,-,M42 family peptidase,20210312,-
1033806,23798078,HTIA_RS02920,HTIA_RS02920,HTIA_0589,-,I,-,Like-Sm ribonucleoprotein core,protein-coding,-,-,-,Like-Sm ribonucleoprotein core,20210312,-
1033806,23798079,HTIA_RS02915,HTIA_RS02915,HTIA_0588,-,I,-,50S ribosomal protein L37e,protein-coding,-,-,-,50S ribosomal protein L37e,20210312,-
1033806,23798080,purF,HTIA_RS02910,HTIA_0587,-,I,-,amidophosphoribosyltransferase,protein-coding,-,-,-,amidophosphoribosyltransferase,20210312,-
1033806,23798081,HTIA_RS02905,HTIA_RS02905,HTIA_0585,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798082,HTIA_RS02900,HTIA_RS02900,HTIA_0584,-,I,-,CBS domain-containing protein,protein-coding,-,-,-,CBS domain-containing protein,20210312,-
1033806,23798084,HTIA_RS02890,HTIA_RS02890,HTIA_0582,-,I,-,CPBP family intramembrane metalloprotease,protein-coding,-,-,-,CPBP family intramembrane metalloprotease,20210312,-
1033806,23798085,lonB,HTIA_RS02885,HTIA_0580,-,I,-,ATP-dependent protease LonB,protein-coding,-,-,-,ATP-dependent protease LonB,20210312,-
1033806,23798086,HTIA_RS02880,HTIA_RS02880,HTIA_0579,-,I,-,nicotinamide-nucleotide adenylyltransferase,protein-coding,-,-,-,nicotinamide-nucleotide adenylyltransferase,20210312,-
1033806,23798087,HTIA_RS02875,HTIA_RS02875,HTIA_0578,-,I,-,SAM-dependent chlorinase/fluorinase,protein-coding,-,-,-,SAM-dependent chlorinase/fluorinase,20210312,-
1033806,23798090,HTIA_RS02860,HTIA_RS02860,HTIA_0576,-,I,-,carotenoid biosynthesis protein,protein-coding,-,-,-,carotenoid biosynthesis protein,20210312,-
1033806,23798091,HTIA_RS02855,HTIA_RS02855,HTIA_0575,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798092,HTIA_RS02850,HTIA_RS02850,HTIA_0574,-,I,-,thermosome subunit,protein-coding,-,-,-,thermosome subunit,20210312,-
1033806,23798093,HTIA_RS02845,HTIA_RS02845,HTIA_0573,-,I,-,amidohydrolase family protein,protein-coding,-,-,-,amidohydrolase family protein,20210312,-
1033806,23798094,HTIA_RS02840,HTIA_RS02840,HTIA_0572,-,I,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210312,-
1033806,23798095,HTIA_RS02835,HTIA_RS02835,HTIA_0571,-,I,-,class I SAM-dependent methyltransferase,protein-coding,-,-,-,class I SAM-dependent methyltransferase,20210312,-
1033806,23798096,HTIA_RS02830,HTIA_RS02830,HTIA_0570,-,I,-,winged helix-turn-helix transcriptional regulator,protein-coding,-,-,-,winged helix-turn-helix transcriptional regulator,20210312,-
1033806,23798097,HTIA_RS02825,HTIA_RS02825,HTIA_0569,-,I,-,YkgJ family cysteine cluster protein,protein-coding,-,-,-,YkgJ family cysteine cluster protein,20210312,-
1033806,23798098,HTIA_RS02820,HTIA_RS02820,HTIA_0568,-,I,-,TRAM domain-containing protein,protein-coding,-,-,-,TRAM domain-containing protein,20210312,-
1033806,23798099,HTIA_RS02815,HTIA_RS02815,HTIA_0567,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798100,HTIA_RS02810,HTIA_RS02810,HTIA_0566,-,I,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210312,-
1033806,23798101,HTIA_RS02805,HTIA_RS02805,HTIA_0565,-,I,-,SPFH/Band 7/PHB domain protein,protein-coding,-,-,-,SPFH/Band 7/PHB domain protein,20210312,-
1033806,23798102,HTIA_RS02800,HTIA_RS02800,HTIA_0564,-,I,-,NfeD family protein,protein-coding,-,-,-,NfeD family protein,20210312,-
1033806,23798103,HTIA_RS02795,HTIA_RS02795,HTIA_0563,-,I,-,transposase,protein-coding,-,-,-,transposase,20210312,-
1033806,23798104,HTIA_RS02790,HTIA_RS02790,HTIA_0562,-,I,-,cold-shock protein,protein-coding,-,-,-,cold-shock protein,20210312,-
1033806,23798105,HTIA_RS02785,HTIA_RS02785,HTIA_0561,-,I,-,M48 family metallopeptidase,protein-coding,-,-,-,M48 family metallopeptidase,20210312,-
1033806,23798106,HTIA_RS02780,HTIA_RS02780,HTIA_0560,-,I,-,type I restriction endonuclease subunit R,protein-coding,-,-,-,type I restriction endonuclease subunit R,20210312,-
1033806,23798107,HTIA_RS02775,HTIA_RS02775,HTIA_0559,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798110,HTIA_RS02760,HTIA_RS02760,HTIA_0557,-,I,-,SAM-dependent DNA methyltransferase,protein-coding,-,-,-,SAM-dependent DNA methyltransferase,20210312,-
1033806,23798111,HTIA_RS02755,HTIA_RS02755,HTIA_0556,-,I,-,tRNA,tRNA,-,-,-,-,20210312,-
1033806,23798112,HTIA_RS02750,HTIA_RS02750,HTIA_0555,-,I,-,metal-dependent transcriptional regulator,protein-coding,-,-,-,metal-dependent transcriptional regulator,20210312,-
1033806,23798113,HTIA_RS02745,HTIA_RS02745,HTIA_0554,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798114,sufD,HTIA_RS02740,HTIA_0553,-,I,-,Fe-S cluster assembly protein SufD,protein-coding,-,-,-,Fe-S cluster assembly protein SufD,20210312,-
1033806,23798115,sufB,HTIA_RS02735,HTIA_0552,-,I,-,Fe-S cluster assembly protein SufB,protein-coding,-,-,-,Fe-S cluster assembly protein SufB,20210312,-
1033806,23798116,HTIA_RS02730,HTIA_RS02730,HTIA_0551,-,I,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210312,-
1033806,23798117,HTIA_RS02725,HTIA_RS02725,HTIA_0550,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798118,HTIA_RS02720,HTIA_RS02720,HTIA_0549,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798119,HTIA_RS02715,HTIA_RS02715,HTIA_0548,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798120,HTIA_RS02710,HTIA_RS02710,HTIA_0547,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798121,HTIA_RS02705,HTIA_RS02705,HTIA_0546,-,I,-,DNA double-strand break repair ATPase Rad50,protein-coding,-,-,-,DNA double-strand break repair ATPase Rad50,20210312,-
1033806,23798122,HTIA_RS02700,HTIA_RS02700,HTIA_0545,-,I,-,metallophosphoesterase family protein,protein-coding,-,-,-,metallophosphoesterase family protein,20210312,-
1033806,23798123,HTIA_RS02695,HTIA_RS02695,HTIA_0544,-,I,-,winged helix-turn-helix transcriptional regulator,protein-coding,-,-,-,winged helix-turn-helix transcriptional regulator,20210312,-
1033806,23798124,HTIA_RS02690,HTIA_RS02690,HTIA_0543,-,I,-,proteasome-activating nucleotidase,protein-coding,-,-,-,proteasome-activating nucleotidase,20210312,-
1033806,23798125,HTIA_RS02685,HTIA_RS02685,HTIA_0542,-,I,-,histidinol-phosphate transaminase,protein-coding,-,-,-,histidinol-phosphate transaminase,20210312,-
1033806,23798126,HTIA_RS02680,HTIA_RS02680,HTIA_0541,-,I,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20210312,-
1033806,23798127,HTIA_RS02675,HTIA_RS02675,HTIA_0540,-,I,-,CDP-alcohol phosphatidyltransferase family protein,protein-coding,-,-,-,CDP-alcohol phosphatidyltransferase family protein,20210312,-
1033806,23798128,HTIA_RS02670,HTIA_RS02670,-,-,I,-,TIGR00270 family protein,protein-coding,-,-,-,TIGR00270 family protein,20210312,-
1033806,23798129,HTIA_RS02665,HTIA_RS02665,HTIA_0537,-,I,-,response regulator,protein-coding,-,-,-,response regulator,20210312,-
1033806,23798130,tpiA,HTIA_RS02660,HTIA_0536,-,I,-,triose-phosphate isomerase,protein-coding,-,-,-,triose-phosphate isomerase,20210312,-
1033806,23798131,HTIA_RS02655,HTIA_RS02655,HTIA_0535,-,I,-,FAD-dependent oxidoreductase,protein-coding,-,-,-,FAD-dependent oxidoreductase,20210312,-
1033806,23798132,HTIA_RS02650,HTIA_RS02650,HTIA_0534,-,I,-,PH domain-containing protein,protein-coding,-,-,-,PH domain-containing protein,20210312,-
1033806,23798133,HTIA_RS02645,HTIA_RS02645,HTIA_0533,-,I,-,PH domain-containing protein,protein-coding,-,-,-,PH domain-containing protein,20210312,-
1033806,23798134,HTIA_RS02640,HTIA_RS02640,HTIA_0532,-,I,-,NAD-binding protein,protein-coding,-,-,-,NAD-binding protein,20210312,-
1033806,23798135,HTIA_RS02635,HTIA_RS02635,HTIA_0531,-,I,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210312,-
1033806,23798136,HTIA_RS02630,HTIA_RS02630,HTIA_0530,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798137,HTIA_RS02625,HTIA_RS02625,HTIA_0529,-,I,-,DJ-1/PfpI family protein,protein-coding,-,-,-,DJ-1/PfpI family protein,20210312,-
1033806,23798139,HTIA_RS02615,HTIA_RS02615,HTIA_0527,-,I,-,Gfo/Idh/MocA family oxidoreductase,protein-coding,-,-,-,Gfo/Idh/MocA family oxidoreductase,20210312,-
1033806,23798140,HTIA_RS02610,HTIA_RS02610,HTIA_0526,-,I,-,GNAT family N-acetyltransferase,protein-coding,-,-,-,GNAT family N-acetyltransferase,20210312,-
1033806,23798141,HTIA_RS02605,HTIA_RS02605,HTIA_0525,-,I,-,HD domain-containing protein,protein-coding,-,-,-,HD domain-containing protein,20210312,-
1033806,23798142,HTIA_RS02600,HTIA_RS02600,HTIA_0524,-,I,-,LysE family translocator,protein-coding,-,-,-,LysE family translocator,20210406,-
1033806,23798143,HTIA_RS02595,HTIA_RS02595,HTIA_0523,-,I,-,proteasome assembly chaperone family protein,protein-coding,-,-,-,proteasome assembly chaperone family protein,20210312,-
1033806,23798144,HTIA_RS02590,HTIA_RS02590,HTIA_0522,-,I,-,RsmB/NOP family class I SAM-dependent RNA methyltransferase,protein-coding,-,-,-,RsmB/NOP family class I SAM-dependent RNA methyltransferase,20210312,-
1033806,23798145,HTIA_RS02585,HTIA_RS02585,HTIA_0521,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798146,HTIA_RS02580,HTIA_RS02580,HTIA_0520,-,I,-,DUF790 family protein,protein-coding,-,-,-,DUF790 family protein,20210312,-
1033806,23798148,HTIA_RS02570,HTIA_RS02570,HTIA_0517,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798149,HTIA_RS02565,HTIA_RS02565,HTIA_0516,-,I,-,DEAD/DEAH box helicase family protein,protein-coding,-,-,-,DEAD/DEAH box helicase family protein,20210312,-
1033806,23798150,grpE,HTIA_RS02560,HTIA_0515,-,I,-,nucleotide exchange factor GrpE,protein-coding,-,-,-,nucleotide exchange factor GrpE,20210312,-
1033806,23798151,dnaK,HTIA_RS02555,HTIA_0514,-,I,-,molecular chaperone DnaK,protein-coding,-,-,-,molecular chaperone DnaK,20210312,-
1033806,23798152,HTIA_RS02550,HTIA_RS02550,HTIA_0513,-,I,-,aldo/keto reductase,protein-coding,-,-,-,aldo/keto reductase,20210312,-
1033806,23798153,HTIA_RS02545,HTIA_RS02545,HTIA_0512,-,I,-,phosphate uptake regulator PhoU,protein-coding,-,-,-,phosphate uptake regulator PhoU,20210312,-
1033806,23798154,uvrA,HTIA_RS02540,HTIA_0511,-,I,-,excinuclease ABC subunit UvrA,protein-coding,-,-,-,excinuclease ABC subunit UvrA,20210312,-
1033806,23798155,HTIA_RS02535,HTIA_RS02535,HTIA_0510,-,I,-,bacteriorhodopsin,protein-coding,-,-,-,bacteriorhodopsin,20210312,-
1033806,23798156,HTIA_RS02530,HTIA_RS02530,HTIA_0509,-,I,-,lycopene cyclase domain-containing protein,protein-coding,-,-,-,lycopene cyclase domain-containing protein,20210312,-
1033806,23798157,HTIA_RS02525,HTIA_RS02525,HTIA_0508,-,I,-,PAS domain-containing protein,protein-coding,-,-,-,PAS domain-containing protein,20210312,-
1033806,23798158,crtI,HTIA_RS02520,HTIA_0507,-,I,-,phytoene desaturase,protein-coding,-,-,-,phytoene desaturase,20210312,-
1033806,23798159,HTIA_RS02515,HTIA_RS02515,HTIA_0506,-,I,-,"beta-carotene 15,15'-dioxygenase, Brp/Blh family",protein-coding,-,-,-,"beta-carotene 15,15'-dioxygenase, Brp/Blh family",20210312,-
1033806,23798160,HTIA_RS02510,HTIA_RS02510,HTIA_0505,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798161,HTIA_RS02505,HTIA_RS02505,HTIA_0504,-,I,-,SDR family oxidoreductase,protein-coding,-,-,-,SDR family oxidoreductase,20210312,-
1033806,23798162,HTIA_RS02500,HTIA_RS02500,HTIA_0503,-,I,-,TIGR00266 family protein,protein-coding,-,-,-,TIGR00266 family protein,20210312,-
1033806,23798163,HTIA_RS02495,HTIA_RS02495,HTIA_0502,-,I,-,DUF402 domain-containing protein,protein-coding,-,-,-,DUF402 domain-containing protein,20210312,-
1033806,23798164,HTIA_RS02490,HTIA_RS02490,HTIA_0501,-,I,-,preprotein translocase subunit Sec61beta,protein-coding,-,-,-,preprotein translocase subunit Sec61beta,20210312,-
1033806,23798165,HTIA_RS02485,HTIA_RS02485,HTIA_0500,-,I,-,thioredoxin family protein,protein-coding,-,-,-,thioredoxin family protein,20210312,-
1033806,23798166,npdG,HTIA_RS02480,HTIA_0499,-,I,-,NADPH-dependent F420 reductase,protein-coding,-,-,-,NADPH-dependent F420 reductase,20210312,-
